Opcode,Cost,Hint,,,
173,4,LRETURN,Return long from method,,
174,2,FRETURN,Return float from method,,
175,4,DRETURN,Return double from method,,
176,2,ARETURN,Return reference from method,,
177,0,RETURN,Return void from method,,
178,2,GETSTATIC,Get static field from class,,
179,2,PUTSTATIC,Put static field from class,,
180,2,GETFIELD,Fetch field from object,,
181,2,PUTFIELD,Set field in object,,
182,2,INVOKEVIRTUAL,Invoke instance method; dispatch based on class,,
183,2,INVOKESPECIAL,Invoke instance method; special handling for superclass private and instance initialization method invocations,,
184,2,INVOKESTATIC,Invoke a class (static) method,,
185,2,INVOKEINTERFACE,Invoke interface method,,
186,2,INVOKEDYNAMIC,Invoke dynamic method,,
187,4,NEW,Create new object,,
188,4,NEWARRAY,Create new array,,
189,4,ANEWARRAY,Create new array of reference,,
190,2,ARRAYLENGTH,Get length of array,,
191,4,ATHROW,Throw exception or error,,
192,2,CHECKCAST,Check whether object is of given type,,
193,2,INSTANCEOF,Determine if object is of given type,,
194,4,MONITORENTER,Enter monitor for object,,
195,4,MONITOREXIT,Exit monitor for object,,
197,4,MULTIANEWARRAY,Create new multidimensional array,,
198,2,IFNULL,Branch if reference is null,,
199,2,IFNONNULL,Branch if reference is not null,,
